scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S2,qlearning,2,0,0.1175378905041757,10457.363043273741,3,3254.1799999189475,3469.5999998986845
S2,qlearning,2,1,0.10906612133605999,9034.25,0,2934.9999999999995,3226.75
S2,qlearning,2,2,0.12876884422110552,11214.25,0,3471.65,3551.0
S2,qlearning,2,3,0.07973733583489681,10193.695456716514,3,2826.029091353368,2848.5
S2,qlearning,2,4,0.1165462902166776,10854.401922516076,5,3885.6153844878845,4278.574999911848
S2,qlearning,2,5,0.12664315485732608,10719.899999711593,3,3598.5299999615686,3682.0
S2,qlearning,2,6,0.08183568677792041,10369.35,0,3245.95,3418.5
S2,qlearning,2,7,0.13935810810810811,8045.368121039681,6,2629.9486242164216,2798.5499998884056
S2,qlearning,2,8,0.10899600859686828,10194.376162319453,2,3044.3,3054.5
S2,qlearning,2,9,0.07458233890214797,10775.059302077836,3,3432.7,3678.0
S2,qlearning,2,10,0.11524822695035461,8461.6362065878,3,2151.9,2153.5
S2,qlearning,2,11,0.0966686496133254,11481.699561285304,2,2840.9,2921.0
S2,qlearning,2,12,0.07814761215629522,11026.25,0,2774.1,2786.0
S2,qlearning,2,13,0.09239940387481371,11481.25,0,3092.4,3114.0
S2,qlearning,2,14,0.08980301274623406,10863.571276410366,2,2968.414255282073,3100.0
S2,qlearning,2,15,0.095707656612529,11495.599999825281,2,2935.6,3048.0
S2,qlearning,2,16,0.09511731135066583,10345.899999728703,4,3423.35,3675.0
S2,qlearning,2,17,0.07006005147269088,10625.912686275056,4,3152.559999918671,3344.0499999433823
S2,qlearning,2,18,0.10532837670384139,10835.157746219104,4,3583.339999957517,3809.0499999468966
S2,qlearning,2,19,0.08537371134020619,10068.549999929357,1,2785.7999999999997,2900.0
S2,qlearning,2,20,0.08907363420427554,11039.020504205151,5,3542.0141008702053,3660.0
S2,qlearning,2,21,0.128068303094984,9031.1,0,2218.58,2236.6
S2,qlearning,2,22,0.11556982343499198,9631.299999794337,3,2878.919999970108,2908.5
