scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S2,qlearning,0,0,0.10767627648489059,9257.149999585068,4,2310.1199998921793,2352.099999865224
S2,qlearning,0,1,0.1034928848641656,9326.051457438753,7,3213.711165979877,3462.001457486878
S2,qlearning,0,2,0.07882882882882883,11472.5,0,3824.5499999999997,4080.25
S2,qlearning,0,3,0.09693053311793215,9833.190283287468,2,2787.943846141886,2896.0
S2,qlearning,0,4,0.07545813869924542,10606.29999980156,3,2872.179999896248,2963.09999987031
S2,qlearning,0,5,0.07484168105929764,10538.000926256953,3,2624.2,2653.5
S2,qlearning,0,6,0.11406844106463879,8567.0,0,2746.2,2929.0
S2,qlearning,0,7,0.11665682220909628,10476.749999956497,1,2898.1099999912994,2906.5
S2,qlearning,0,8,0.11509817197020988,9182.75,0,2509.5,2514.5
S2,qlearning,0,9,0.10568409025992574,11912.0,0,3903.0,4032.0
S2,qlearning,0,10,0.10482180293501048,9820.237704746804,2,3490.7875409730527,3723.25
S2,qlearning,0,11,0.12146371463714638,10727.099999826427,3,3197.959999861141,3267.6999998264264
S2,qlearning,0,12,0.10380622837370242,12115.324999523637,5,3629.099999788472,3643.4249997616034
S2,qlearning,0,13,0.09615384615384616,8950.422221739167,5,2602.2399999820927,2734.0
S2,qlearning,0,14,0.1095767036925848,12131.180166128546,6,3470.551666340779,3713.9333329305573
S2,qlearning,0,15,0.11671335200746966,11599.94999989,1,3433.559999912,3506.69999989
S2,qlearning,0,16,0.0954653937947494,12763.774193700652,8,4017.9317382516715,4031.7781658366266
S2,qlearning,0,17,0.1085915043117215,9364.66491189276,4,2472.1066665638914,2472.1333332048644
S2,qlearning,0,18,0.12704781009695754,8865.6,0,2419.9,2473.0
S2,qlearning,0,19,0.14332514332514332,8184.5,0,2262.4,2268.5
S2,qlearning,0,20,0.12004175365344467,9194.819108092544,3,3075.71382153156,3281.7499998550857
S2,qlearning,0,21,0.10314185972707077,10579.374999869047,1,3289.9349999109522,3469.599999895238
S2,qlearning,0,22,0.0945179584120983,10662.481605791352,4,4106.8963211582695,4579.0
S2,qlearning,0,23,0.09612141652613827,10031.5,0,2694.7,2746.5
S2,qlearning,0,24,0.0919175911251981,11038.599999924138,1,4231.8799999393095,4621.099999924138
S2,qlearning,0,25,0.11371973587674249,9660.707290935194,8,2433.639999928372,2467.799999910465
S2,qlearning,0,26,0.11173184357541899,13482.23144635468,3,3793.9851570837445,3813.2314463546804
S2,qlearning,0,27,0.11879507848960542,7362.64999938514,3,2565.5,2804.5
S2,qlearning,0,28,0.08633521881512354,11115.74999986345,2,3553.2499999726897,3818.0
S2,qlearning,0,29,0.08787346221441125,10310.0,0,3106.5,3273.0
S2,qlearning,0,30,0.08430410790925813,10749.649999841802,2,3198.6199998734423,3243.149999841803
S2,qlearning,0,31,0.0965476887068461,11103.336202156122,8,3601.1550782219447,3755.696396260208
S2,qlearning,0,32,0.10966944701884461,11090.268852401075,1,3692.6499999999996,3903.0
S2,qlearning,0,33,0.09615384615384616,10222.449999919792,1,2971.9,3014.5
S2,qlearning,0,34,0.11949685534591195,10796.749999843458,2,3029.23,3092.5
S2,qlearning,0,35,0.09663341645885287,10042.049999940311,1,2685.539999952248,2850.54999994031
S2,qlearning,0,36,0.11572606214331008,9691.347656196893,1,2542.6,2590.0
S2,qlearning,0,37,0.09530791788856305,11169.8224515563,9,3920.1651951137633,4261.605522436334
S2,qlearning,0,38,0.11534912334666257,11121.936927887667,2,3002.3195424136634,3028.086928017079
S2,qlearning,0,39,0.08682170542635659,10255.349999641343,2,2983.679999713074,2994.349999641342
S2,qlearning,0,40,0.11258482418260334,10080.39999963434,5,2783.419999976072,2888.0
S2,qlearning,0,41,0.09298140371925614,12891.134999104741,10,3534.113999685198,3549.644999671954
S2,qlearning,0,42,0.08916083916083917,9250.5,0,2528.0,2552.0
S2,qlearning,0,43,0.09937238493723849,9336.3773108664,5,3471.8639727249715,3666.3308508752334
S2,qlearning,0,44,0.09797917942437231,12448.313963979306,6,3752.9427928201135,3768.5
S2,qlearning,0,45,0.12793550648440238,9725.55,0,2626.52,2679.4
S2,qlearning,0,46,0.1349504612230953,10549.661209001384,6,3235.052241763053,3416.5499999206186
S2,qlearning,0,47,0.11917280056081318,9374.044413300575,2,2540.5,2628.0
S2,qlearning,0,48,0.1306497175141243,8239.940551010966,2,2024.8381102021933,2099.0
S2,qlearning,0,49,0.1076388888888889,9750.549999915385,1,2755.209999983077,2770.0
S2,qlearning,0,50,0.08928571428571429,12394.434426038064,3,4009.147540830451,4268.434426038064
S2,qlearning,0,51,0.11234272019173158,10343.649999823034,3,3193.8199998584273,3472.6499998230342
S2,qlearning,0,52,0.10338345864661654,10526.0,0,3736.9999999999995,4070.5
S2,qlearning,0,53,0.10521356783919598,9584.163124953237,4,2542.5,2587.5
S2,qlearning,0,54,0.15050820953870211,8708.25,0,2772.8999999999996,2948.0
S2,qlearning,0,55,0.13724742661075104,8347.199999910465,1,2683.0599999283722,2706.199999910465
S2,qlearning,0,56,0.1306532663316583,9632.093478218985,1,2743.9,2833.5
S2,qlearning,0,57,0.13826477704804702,9547.15,0,3113.0,3345.25
S2,qlearning,0,58,0.10187838268067495,10227.034497011718,3,3007.349999972466,3164.0
S2,qlearning,0,59,0.12577532736044109,8566.995832970419,6,2613.671666536891,2653.4874998475834
S2,qlearning,0,60,0.11734028683181226,9527.606249733495,3,2774.299999911281,2785.98124990848
S2,qlearning,0,61,0.09309542280837858,8252.0,0,2981.7999999999997,3351.0
S2,qlearning,0,62,0.1294390972452705,11269.65,0,3615.88,3775.25
S2,qlearning,0,63,0.12531783508899383,10306.5,0,3842.8199999999997,3998.5
S2,qlearning,0,64,0.10469436001350894,10706.699999826036,2,2931.1,2956.5
S2,qlearning,0,65,0.08605600933488915,9748.963705547647,1,2723.592741109529,2811.5
S2,qlearning,0,66,0.14870606411741985,8022.587499943854,1,2589.3999999999996,2811.0
S2,qlearning,0,67,0.10303208713570798,10570.0,0,3211.8999999999996,3434.5
S2,qlearning,0,68,0.11945392491467577,10507.0,0,3171.9,3225.5
S2,qlearning,0,69,0.10830324909747292,11646.049999907229,1,3214.0499999999997,3298.25
S2,qlearning,0,70,0.11171293161814488,8231.6,0,2321.2,2340.5
S2,qlearning,0,71,0.0933075933075933,11155.0,0,3057.7,3121.5
S2,qlearning,0,72,0.10279473176999679,9379.692306909757,8,2465.4999999607144,2487.8749999508927
