scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S3,qlearning,2,0,0.11585141596175064,6465.700000000001,0,2015.1600000000003,2185.0000000000005
S3,qlearning,2,1,0.12144053601340034,5445.6,0,1508.92,1540.7
S3,qlearning,2,2,0.14589412255106293,5135.900000000001,0,1298.64,1330.1000000000001
S3,qlearning,2,3,0.10080645161290322,6721.1,1,1931.5600000000002,1963.6000000000001
S3,qlearning,2,4,0.1349237387563551,6437.500000000001,1,1937.6800000000003,1942.0000000000002
S3,qlearning,2,5,0.12299282541851725,6608.700000000001,1,1803.92,1876.0000000000002
S3,qlearning,2,6,0.12137823022709475,6025.450000000001,0,1600.7600000000002,1613.4
S3,qlearning,2,7,0.13618677042801555,6662.900000000001,3,1812.2400000000002,1840.2000000000003
S3,qlearning,2,8,0.11199696279422931,6888.950000000001,0,2173.4,2277.8
S3,qlearning,2,9,0.1167964404894327,6481.35,0,1705.96,1731.1000000000001
S3,qlearning,2,10,0.11551155115511551,6432.500000000001,3,1846.5600000000002,1930.0000000000002
S3,qlearning,2,11,0.12758620689655173,7130.000000000001,0,2115.6400000000003,2246.1000000000004
S3,qlearning,2,12,0.1424172440338722,5562.700000000001,0,1536.1200000000001,1590.9
S3,qlearning,2,13,0.13575605680868838,5902.6,0,1569.6200000000001,1634.0000000000002
S3,qlearning,2,14,0.11679420056383408,6068.1,3,1621.04,1625.7
S3,qlearning,2,15,0.09916492693110647,6506.900000000001,0,2128.2,2315.4
S3,qlearning,2,16,0.13392857142857142,5806.000000000001,2,1653.7200000000003,1656.3000000000002
S3,qlearning,2,17,0.10519172039362062,7482.0,0,1892.3600000000001,1983.8000000000002
S3,qlearning,2,18,0.14243973703433163,6332.6,3,1752.6200000000001,1836.6000000000001
S3,qlearning,2,19,0.1426872770511296,6516.500000000001,0,2011.38,2119.3
S3,qlearning,2,20,0.1271186440677966,6713.1,0,1930.7200000000003,2087.6000000000004
S3,qlearning,2,21,0.12348024316109422,6244.700000000001,2,1908.16,1912.4
S3,qlearning,2,22,0.12859304084720122,6571.500000000001,1,2333.04,2611.0
S3,qlearning,2,23,0.1281055900621118,6058.900000000001,1,1630.5800000000002,1653.6000000000001
S3,qlearning,2,24,0.14108352144469527,6176.8,0,2060.6800000000003,2184.7000000000003
S3,qlearning,2,25,0.10979121670266379,6670.3,2,1830.18,1851.5
S3,qlearning,2,26,0.1310790273556231,6666.400000000001,1,1626.8200000000002,1657.1000000000001
S3,qlearning,2,27,0.11752136752136752,6293.3,0,1601.8200000000002,1610.0000000000002
S3,qlearning,2,28,0.14221556886227546,6191.933333333334,0,1612.5466666666666,1675.5333333333333
S3,qlearning,2,29,0.13277843836702338,5931.700000000001,0,1643.8000000000002,1651.4
S3,qlearning,2,30,0.14061358655953252,7005.6,0,1792.68,1796.6000000000001
S3,qlearning,2,31,0.11355571327182398,6226.900000000001,6,1807.28,1890.0
S3,qlearning,2,32,0.10014054813773718,6972.700000000001,0,2185.04,2254.4
S3,qlearning,2,33,0.1539855072463768,5379.200000000001,0,1462.3000000000002,1462.6000000000001
S3,qlearning,2,34,0.13108614232209737,5821.900000000001,2,1619.8200000000002,1695.6000000000001
S3,qlearning,2,35,0.12834821428571427,6095.8,0,2050.28,2238.7000000000003
S3,qlearning,2,36,0.121464829586657,7094.433333333333,0,1871.0000000000002,1891.0000000000002
S3,qlearning,2,37,0.12479201331114809,5886.400000000001,0,1608.0,1680.0000000000002
S3,qlearning,2,38,0.15804030027657054,6335.200000000001,0,1805.2,1866.0
S3,qlearning,2,39,0.10139860139860139,7282.700000000001,3,2043.24,2070.0
S3,qlearning,2,40,0.14084507042253522,6724.200000000001,0,1987.4000000000003,2060.6000000000004
