scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,1,0,0.12690355329949238,5114.0,2,1537.6,1603.0
S1,qlearning,1,1,0.12407780013413816,6153.5,0,1722.4,1746.5
S1,qlearning,1,2,0.13967534918837296,5801.7,0,1532.76,1540.7
S1,qlearning,1,3,0.14258188824662812,5401.5,2,1397.5,1398.0
S1,qlearning,1,4,0.11328527291452112,6842.333333333333,0,1993.2,2028.0
S1,qlearning,1,5,0.12640449438202248,6821.0,1,1933.6,1985.0
S1,qlearning,1,6,0.11082557018952778,6489.2,2,1842.56,1917.2
S1,qlearning,1,7,0.1169284467713787,6954.5,2,2302.7999999999997,2495.0
S1,qlearning,1,8,0.10081426909654904,5229.5,4,1428.0,1448.5
S1,qlearning,1,9,0.11728617827499098,6073.0,1,1902.0,1968.0
S1,qlearning,1,10,0.11030741410488246,7441.3,3,2073.2999999999997,2168.5
S1,qlearning,1,11,0.10478519035976248,6293.0,1,1811.2,1821.0
S1,qlearning,1,12,0.11509433962264151,4967.0,0,1262.0,1272.0
S1,qlearning,1,13,0.11276891047883414,6461.0,0,2115.0,2307.0
S1,qlearning,1,14,0.11124657116732703,7428.0,0,1932.1,1944.0
S1,qlearning,1,15,0.13021830716200689,6525.0,1,1970.8,1972.0
S1,qlearning,1,16,0.1404001404001404,7881.0,2,2562.4,2588.5
S1,qlearning,1,17,0.13567438148443736,5198.0,0,1238.6,1243.0
S1,qlearning,1,18,0.09943181818181818,5237.0,3,1618.6,1760.0
S1,qlearning,1,19,0.09355162044771133,6047.0,3,1918.6,2020.0
S1,qlearning,1,20,0.11746143057503507,6856.5,1,1567.2,1571.0
S1,qlearning,1,21,0.13130252100840337,6798.0,0,1819.2,1869.0
S1,qlearning,1,22,0.1324845147969718,6649.0,1,2130.0,2169.0
S1,qlearning,1,23,0.12171561051004637,6011.0,2,1454.0,1455.0
S1,qlearning,1,24,0.1183727909303101,6471.5,2,1824.6,1948.0
S1,qlearning,1,25,0.14070932922127988,6322.166666666667,0,1682.0,1719.0
S1,qlearning,1,26,0.11693834160170093,6713.5,0,1971.0,1972.0
S1,qlearning,1,27,0.12376237623762376,6878.0,1,2084.7,2093.5
S1,qlearning,1,28,0.11262924667651403,5804.0,1,1608.6,1643.0
