scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,2,0,0.13533284564740308,5619.0,1,1506.3999999999999,1555.0
S1,qlearning,2,1,0.1137678364828384,5124.0,0,1574.2,1632.0
S1,qlearning,2,2,0.1054510058403634,7584.0,0,2263.8,2271.5
S1,qlearning,2,3,0.08333333333333333,6374.0,1,2066.0,2227.0
S1,qlearning,2,4,0.0972834067547724,6478.5,2,2012.1999999999998,2090.5
S1,qlearning,2,5,0.11297500855871277,6492.5,3,2216.5,2318.0
S1,qlearning,2,6,0.12425816023738873,6417.1,0,2102.6,2105.0
S1,qlearning,2,7,0.1282514450867052,6623.0,5,2055.4,2184.0
S1,qlearning,2,8,0.11029411764705882,6206.0,0,1485.4,1491.0
S1,qlearning,2,9,0.11601675797615212,6743.0,1,1999.1999999999998,2123.0
S1,qlearning,2,10,0.1350844277673546,6519.5,2,2047.1999999999998,2212.5
S1,qlearning,2,11,0.09934971098265896,5926.5,0,1664.6,1724.5
S1,qlearning,2,12,0.12174783188792529,6654.0,0,2062.0,2109.0
S1,qlearning,2,13,0.10443864229765012,5851.0,0,1536.3999999999999,1611.0
S1,qlearning,2,14,0.12663085188027629,5639.0,5,1525.0,1569.0
S1,qlearning,2,15,0.11921965317919075,5997.0,0,1780.8,1832.0
S1,qlearning,2,16,0.13455538221528862,5636.5,6,1833.1999999999998,1962.5
S1,qlearning,2,17,0.09990173599737963,6672.0,2,1883.0,1913.0
S1,qlearning,2,18,0.15924719507781396,5892.0,3,1763.1999999999998,1869.0
S1,qlearning,2,19,0.11035955856176576,6214.5,0,1785.0,1812.5
S1,qlearning,2,20,0.12295081967213115,6760.0,1,2058.7999999999997,2187.0
S1,qlearning,2,21,0.10311080041943377,5809.0,3,1500.8,1501.0
S1,qlearning,2,22,0.12736660929432014,6552.0,2,1956.1999999999998,2121.0
S1,qlearning,2,23,0.12059035277177826,6024.0,3,1583.2,1589.0
S1,qlearning,2,24,0.08654185800070646,6929.5,0,2047.0,2097.0
S1,qlearning,2,25,0.11260504201680673,6981.2,0,1943.8,2040.0
S1,qlearning,2,26,0.09573699421965318,6028.5,3,1577.0,1581.5
S1,qlearning,2,27,0.0896116827082642,6358.0,0,1612.8,1629.0
S1,qlearning,2,28,0.10754523728234892,6428.5,0,1933.6,2074.5
S1,qlearning,2,29,0.12438748586505842,6201.0,1,1940.0,2031.0
S1,qlearning,2,30,0.11494252873563218,6121.5,3,1737.6,1823.0
S1,qlearning,2,31,0.1157329755115733,6330.0,5,1874.8,1882.0
S1,qlearning,2,32,0.10183299389002037,6085.0,0,1608.4,1635.0
S1,qlearning,2,33,0.14084507042253522,6060.0,0,1684.8,1770.0
S1,qlearning,2,34,0.11818778726198292,6668.0,1,1839.2,1877.0
S1,qlearning,2,35,0.12156998957971518,6300.0,4,1829.8,1830.0
S1,qlearning,2,36,0.15044576523031203,5281.0,0,1355.4,1371.0
S1,qlearning,2,37,0.13840155945419103,5273.5,0,1362.0,1385.5
S1,qlearning,2,38,0.1483216237314598,5759.0,1,1714.0,1803.0
S1,qlearning,2,39,0.12345679012345678,7193.0,2,1677.5,1684.0
S1,qlearning,2,40,0.10934744268077601,6368.5,1,1802.6,1867.0
S1,qlearning,2,41,0.14784394250513347,6511.0,0,1756.3999999999999,1828.0
S1,qlearning,2,42,0.13551077136900624,6009.0,0,1747.3999999999999,1829.0
S1,qlearning,2,43,0.12757201646090535,5359.0,1,1707.8,1832.0
S1,qlearning,2,44,0.11248777306814477,8016.5,0,2484.7999999999997,2580.5
S1,qlearning,2,45,0.16072128577028616,5706.0,2,1809.6,1899.0
S1,qlearning,2,46,0.11777301927194861,6378.0,0,1591.8,1623.0
S1,qlearning,2,47,0.14797507788161993,5737.6,3,1517.6,1533.5
S1,qlearning,2,48,0.11912225705329153,7133.0,0,1961.6,1996.0
S1,qlearning,2,49,0.14025777103866566,6032.0,0,2023.6,2129.0
S1,qlearning,2,50,0.10309278350515463,5795.0,0,1660.3999999999999,1697.0
S1,qlearning,2,51,0.13318534961154274,5322.0,1,1360.6,1378.0
S1,qlearning,2,52,0.1434108527131783,5750.8,2,1550.0,1561.0
S1,qlearning,2,53,0.11082138200782268,6518.0,7,2099.3999999999996,2246.0
S1,qlearning,2,54,0.1064891846921797,6468.0,5,1838.0,1951.0
S1,qlearning,2,55,0.10583941605839416,6101.7,0,1790.0,1887.0
S1,qlearning,2,56,0.14942099364960776,6355.3,4,1943.3999999999999,2033.0
S1,qlearning,2,57,0.13893836836480228,5737.0,0,1690.1999999999998,1765.0
S1,qlearning,2,58,0.11861009021049114,6915.5,1,1882.8999999999999,1918.0
S1,qlearning,2,59,0.10707635009310987,7013.0,0,2200.6,2347.0
S1,qlearning,2,60,0.13096168881939016,5239.0,2,1333.2,1378.0
S1,qlearning,2,61,0.1290547610742937,6531.5,1,1792.0,1813.5
S1,qlearning,2,62,0.11836441893830703,6473.5,1,2149.6,2334.5
S1,qlearning,2,63,0.12653061224489795,5083.0,0,1539.6,1582.0
S1,qlearning,2,64,0.12640449438202248,6850.5,2,1972.1,2059.0
S1,qlearning,2,65,0.13504033672395652,6373.5,1,1682.6,1730.0
S1,qlearning,2,66,0.1373825018076645,6019.3,2,1511.66,1514.0
S1,qlearning,2,67,0.13407590759075907,5628.333333333333,0,1530.0,1533.0
S1,qlearning,2,68,0.12686567164179105,5763.0,1,1569.2,1610.0
S1,qlearning,2,69,0.13024142312579415,6711.0,2,1867.3999999999999,1938.0
S1,qlearning,2,70,0.12389380530973451,7209.0,0,1889.0,1905.0
S1,qlearning,2,71,0.15297047314123088,6249.0,0,1702.8,1743.0
S1,qlearning,2,72,0.13868343195266272,6195.9,1,1783.8,1834.0
S1,qlearning,2,73,0.14863463532665053,6848.0,0,2067.2,2112.0
S1,qlearning,2,74,0.12267657992565056,5910.5,2,1770.6,1856.5
S1,qlearning,2,75,0.13672551055728627,6453.5,0,1897.2,1938.5
S1,qlearning,2,76,0.14245515300738656,5799.1,0,1494.62,1504.0
S1,qlearning,2,77,0.11959198030249736,6434.0,1,1929.0,2069.0
S1,qlearning,2,78,0.15192832099727308,5368.0,1,1607.3999999999999,1677.0
S1,qlearning,2,79,0.11822660098522167,7548.0,1,2228.3,2241.5
S1,qlearning,2,80,0.1044776119402985,6588.0,5,1960.1999999999998,2069.0
S1,qlearning,2,81,0.14480111653872993,6574.0,1,2167.6,2405.0
S1,qlearning,2,82,0.13995398773006135,5572.8,2,1539.4,1565.0
S1,qlearning,2,83,0.09177550300035298,6232.0,2,1884.0,1989.0
S1,qlearning,2,84,0.13282387190684133,6372.5,5,1902.0,1950.0
S1,qlearning,2,85,0.17493271818531334,5196.0,0,1549.2,1599.0
S1,qlearning,2,86,0.1306588148693412,5769.0,3,1646.1999999999998,1743.0
S1,qlearning,2,87,0.11375568778438921,6241.0,1,1757.6,1811.0
S1,qlearning,2,88,0.11508072827207146,7160.0,0,2023.6,2033.0
S1,qlearning,2,89,0.13380281690140844,7144.0,2,2241.4,2337.0
S1,qlearning,2,90,0.12182387747998608,7283.5,5,2409.7999999999997,2619.5
S1,qlearning,2,91,0.14077509108976483,5836.0,0,1794.1999999999998,1903.0
S1,qlearning,2,92,0.13188073394495411,5599.0,2,1465.2,1520.0
S1,qlearning,2,93,0.11855670103092783,6710.5,3,1807.3999999999999,1840.0
S1,qlearning,2,94,0.14431538190777896,6268.0,0,1572.6,1590.0
S1,qlearning,2,95,0.16,5358.0,0,1671.0,1690.0
S1,qlearning,2,96,0.13644859813084112,6074.0,5,2148.2,2349.0
S1,qlearning,2,97,0.15988945913936045,5660.0,1,1618.7,1640.5
S1,qlearning,2,98,0.10982874162323157,5919.5,4,1749.8999999999999,1824.0
S1,qlearning,2,99,0.12209531311539977,5322.5,0,1401.6,1471.0
S1,qlearning,2,100,0.12289325842696629,6204.0,2,1873.3999999999999,2013.0
S1,qlearning,2,101,0.11882426516572858,7176.5,0,2312.2999999999997,2408.0
S1,qlearning,2,102,0.11539916761256148,5729.0,0,1939.9999999999998,2105.0
S1,qlearning,2,103,0.13831544178364988,5335.0,1,1690.6,1791.0
S1,qlearning,2,104,0.10104655359076146,5546.0,1,1672.1999999999998,1772.0
S1,qlearning,2,105,0.11293260473588343,5472.0,0,1548.0,1595.0
S1,qlearning,2,106,0.11593118922961855,6200.0,0,1915.2,1982.0
S1,qlearning,2,107,0.10478573662808884,7281.833333333333,0,2495.4666666666662,2736.833333333333
S1,qlearning,2,108,0.16047601875225387,6449.0,0,2224.2,2228.0
S1,qlearning,2,109,0.12714899713467048,6460.3,5,2518.6,2754.0
S1,qlearning,2,110,0.14026684912760862,6391.0,1,2024.3999999999999,2144.0
S1,qlearning,2,111,0.10887495875948532,6388.0,0,1916.6,1968.0
S1,qlearning,2,112,0.13631406761177753,5516.0,0,1526.8,1571.0
S1,qlearning,2,113,0.11788922155688623,5664.2,4,1317.2,1334.0
S1,qlearning,2,114,0.14068863383931876,5034.0,3,1405.8,1420.0
S1,qlearning,2,115,0.14344262295081966,5524.0,0,1536.0,1554.0
S1,qlearning,2,116,0.1430615164520744,5452.5,1,1610.1999999999998,1689.5
S1,qlearning,2,117,0.13472032742155526,6648.0,1,2121.4,2141.0
S1,qlearning,2,118,0.11674347158218126,7650.0,1,2631.7999999999997,2847.0
S1,qlearning,2,119,0.14136125654450263,6526.5,2,1899.1,1936.0
S1,qlearning,2,120,0.12313674659753726,6426.0,0,1892.0,1905.0
S1,qlearning,2,121,0.13952599388379205,6056.0,3,1889.8,1910.0
