scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S2,qlearning,1,0,0.13141620284477426,10649.920097656837,4,3297.3710781377576,3515.6450976773167
S2,qlearning,1,1,0.08987417615338526,11399.124999892341,2,3287.8599999526155,3454.0749999407694
S2,qlearning,1,2,0.09508484493856056,9602.049999930001,1,2554.3,2565.0
S2,qlearning,1,3,0.08568708346556649,10180.59637655024,3,3125.3066665769406,3291.883333221176
S2,qlearning,1,4,0.10706638115631692,10117.5,0,3428.2,3722.5
S2,qlearning,1,5,0.09448338921060652,11437.54999989,1,3366.2999999999997,3517.5
S2,qlearning,1,6,0.08911521323997454,10452.581989718707,6,3346.7687803354606,3416.2109754193257
S2,qlearning,1,7,0.09308930261912275,11649.999992071052,3,3329.5199937561965,3481.149992195246
S2,qlearning,1,8,0.1269956458635704,8886.549999810171,2,2816.6199998481375,3032.649999810172
S2,qlearning,1,9,0.11864406779661017,9706.566442840734,2,3353.9032885816555,3660.5
S2,qlearning,1,10,0.10384215991692627,10953.59999989,1,3288.579999912,3467.59999989
S2,qlearning,1,11,0.12246460007654038,9046.599999656415,3,2951.9799999573843,3082.95
S2,qlearning,1,12,0.09272727272727273,9926.530850853262,2,3279.7061701706525,3385.0
S2,qlearning,1,13,0.10734652801073465,8314.5,0,2118.4,2154.5
S2,qlearning,1,14,0.07822858658180853,12463.354847536602,4,3099.8987499027307,3171.7484373784137
S2,qlearning,1,15,0.1185064935064935,11232.5,0,3324.2999999999997,3524.75
S2,qlearning,1,16,0.10854583046175052,9063.75,0,2930.2999999999997,3076.25
S2,qlearning,1,17,0.09528759528759528,9168.599999864397,2,2535.219999972879,2669.0
S2,qlearning,1,18,0.1055537512179279,8615.5,0,2440.6,2566.5
S2,qlearning,1,19,0.08990719257540604,11545.60796223422,9,3387.0515924125334,3435.8999999149173
S2,qlearning,1,20,0.12709030100334448,10101.75,0,2757.0,2833.5
S2,qlearning,1,21,0.08471965495995071,11151.256249711107,3,3421.7,3634.0
S2,qlearning,1,22,0.11772400261608895,9404.605377009104,5,2502.6099999898015,2542.0
S2,qlearning,1,23,0.11084984884111522,9606.279823558743,4,2683.6376922344134,2692.809615317696
S2,qlearning,1,24,0.06880733944954129,9787.913913950068,6,3014.7,3187.0
S2,qlearning,1,25,0.10696095076400679,9168.999999843207,2,2482.7899999578085,2490.0499999472604
S2,qlearning,1,26,0.10981912144702842,9683.5,0,2886.9,3023.0
S2,qlearning,1,27,0.11460258780036968,8822.75,0,2742.2,2843.25
