scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S3,qlearning,0,0,0.12456208641494745,6567.400000000001,3,1636.32,1695.2
S3,qlearning,0,1,0.09615384615384616,5983.900000000001,2,1987.96,2134.2000000000003
S3,qlearning,0,2,0.12564818508177103,5866.3,0,1669.56,1741.4
S3,qlearning,0,3,0.10797016097369454,6382.6,1,1536.2800000000002,1549.1000000000001
S3,qlearning,0,4,0.10885082084225553,6641.1,0,1822.78,1876.0
S3,qlearning,0,5,0.13367916999201915,5447.5,4,1670.6,1756.2
S3,qlearning,0,6,0.1250480954213159,5998.1,0,1669.4,1746.0000000000002
S3,qlearning,0,7,0.10931021485111195,6631.0,1,1749.3000000000002,1768.6000000000001
S3,qlearning,0,8,0.12063227953410982,5487.6,0,1499.96,1526.8000000000002
S3,qlearning,0,9,0.14125386996904024,6012.900000000001,2,1864.8000000000002,1866.8000000000002
S3,qlearning,0,10,0.1309390198279087,6752.700000000001,2,2040.46,2153.2000000000003
S3,qlearning,0,11,0.1221877424359969,6161.200000000001,3,1750.24,1812.9
S3,qlearning,0,12,0.13383939272872553,6157.400000000001,0,1615.02,1641.0
S3,qlearning,0,13,0.1109350237717908,5840.200000000001,8,1644.7200000000003,1663.5000000000002
S3,qlearning,0,14,0.14049877063575694,5763.900000000001,1,1620.38,1694.0000000000002
S3,qlearning,0,15,0.1217739003998546,6689.8,2,2021.38,2120.2000000000003
S3,qlearning,0,16,0.11770726714431934,6912.700000000001,0,1898.0000000000002,1925.8000000000002
S3,qlearning,0,17,0.09814418272662384,5818.900000000001,1,1563.3200000000002,1584.2
S3,qlearning,0,18,0.13714285714285715,6699.000000000001,0,1629.88,1638.1000000000001
S3,qlearning,0,19,0.13498098859315588,6149.200000000001,0,1776.4,1812.7
S3,qlearning,0,20,0.1573355128729056,5775.900000000001,1,1786.7,1875.6000000000001
S3,qlearning,0,21,0.139739663093415,5878.500000000001,2,1765.3200000000002,1777.6000000000001
S3,qlearning,0,22,0.11656658424584952,7370.500000000001,2,2233.16,2313.0
S3,qlearning,0,23,0.15433320142461418,5556.5,0,1420.22,1423.0
S3,qlearning,0,24,0.12226750648388292,6362.5,2,1808.44,1822.6000000000001
S3,qlearning,0,25,0.13167795334838225,5751.1,1,1379.18,1383.6000000000001
S3,qlearning,0,26,0.09200401472064236,7111.000000000001,1,1904.24,1939.3000000000002
S3,qlearning,0,27,0.13290902283788844,6107.1,2,1970.8000000000002,2112.8
S3,qlearning,0,28,0.10917838638045892,6692.900000000001,0,1983.68,2103.4
S3,qlearning,0,29,0.13924050632911392,6200.900000000001,2,1547.4400000000003,1560.5000000000002
S3,qlearning,0,30,0.12595837897042717,6690.700000000001,2,1852.92,1889.8000000000002
S3,qlearning,0,31,0.12016718913270637,7490.400000000001,1,2123.2200000000003,2213.8
S3,qlearning,0,32,0.13377926421404682,6759.900000000001,1,1993.92,2121.2000000000003
S3,qlearning,0,33,0.1609487505294367,5394.8,0,1605.1399999999999,1662.0
S3,qlearning,0,34,0.13362652232746955,7139.3,0,1829.5600000000002,1845.6000000000001
S3,qlearning,0,35,0.13691128148959475,6730.900000000001,0,1941.3600000000001,1988.2000000000003
S3,qlearning,0,36,0.1213235294117647,7215.8,0,2266.48,2447.6000000000004
S3,qlearning,0,37,0.1561925762587284,6557.900000000001,0,2113.28,2280.0000000000005
S3,qlearning,0,38,0.1554001554001554,5406.1,0,1461.0000000000002,1482.8000000000002
S3,qlearning,0,39,0.11688311688311688,6847.500000000001,2,2409.98,2662.6000000000004
S3,qlearning,0,40,0.13677811550151975,5723.1,2,1614.96,1652.2
S3,qlearning,0,41,0.1474820143884892,6817.5,1,2361.64,2607.0
S3,qlearning,0,42,0.13133892739875958,6460.3,0,2023.1200000000001,2171.3
S3,qlearning,0,43,0.13288377627925427,6019.700000000001,3,1942.96,1975.4
S3,qlearning,0,44,0.16019223067681218,5787.1,0,1865.52,1964.0
S3,qlearning,0,45,0.13909495548961423,6591.900000000001,5,2315.96,2542.4000000000005
S3,qlearning,0,46,0.1425891181988743,6239.700000000001,0,1638.8,1697.0
S3,qlearning,0,47,0.1631231671554252,6559.900000000001,0,1667.58,1683.0
S3,qlearning,0,48,0.14871236851650343,6399.3,0,2083.72,2255.8
S3,qlearning,0,49,0.1385809312638581,5470.700000000001,0,1373.6000000000001,1392.4
S3,qlearning,0,50,0.11614837017609592,6906.5666666666675,0,2280.5733333333333,2438.0666666666666
S3,qlearning,0,51,0.15013054830287206,5223.900000000001,7,1471.52,1525.9
S3,qlearning,0,52,0.13492675404780263,7201.700000000001,1,2147.32,2188.2000000000003
S3,qlearning,0,53,0.11600537995965031,7233.700000000001,2,2352.88,2454.2000000000003
S3,qlearning,0,54,0.12958963282937366,6510.900000000001,0,2038.56,2185.0
S3,qlearning,0,55,0.12555690562980965,5698.700000000001,5,1497.0,1530.4
S3,qlearning,0,56,0.11720385098367518,6113.1,0,2070.6,2131.8
S3,qlearning,0,57,0.12062937062937062,7039.400000000001,0,1858.76,1915.6000000000001
S3,qlearning,0,58,0.13252555850056796,6529.3,3,1871.06,1956.0
S3,qlearning,0,59,0.11904761904761904,5805.1,2,1796.16,1956.6000000000001
S3,qlearning,0,60,0.1504950495049505,5565.700000000001,0,1693.44,1792.4
S3,qlearning,0,61,0.17191383595691798,5738.500000000001,0,1575.42,1621.8000000000002
S3,qlearning,0,62,0.11913626209977662,6605.700000000001,0,1790.2800000000002,1808.6000000000001
S3,qlearning,0,63,0.12716763005780346,6884.3,0,1894.6200000000001,1938.8000000000002
S3,qlearning,0,64,0.13717421124828533,6582.500000000001,2,1800.0400000000002,1853.6000000000001
S3,qlearning,0,65,0.1457000710732054,7345.1,0,2669.42,2991.2000000000003
S3,qlearning,0,66,0.12895460797799174,6547.750000000001,2,1759.4800000000002,1766.9000000000003
S3,qlearning,0,67,0.14025500910746813,6353.8,0,1829.2600000000002,1905.0000000000002
S3,qlearning,0,68,0.13404825737265416,6045.3,0,1854.16,1952.0000000000002
S3,qlearning,0,69,0.16005820298290288,6328.6,0,1817.56,1842.4
S3,qlearning,0,70,0.14492753623188406,5872.3,0,1664.32,1735.2
S3,qlearning,0,71,0.13988399863527806,7406.700000000001,0,2416.9,2634.6000000000004
S3,qlearning,0,72,0.11403169694626981,6047.1,5,1661.8400000000001,1721.2000000000003
S3,qlearning,0,73,0.12242518460940537,5870.1,2,1756.2400000000002,1772.6000000000001
S3,qlearning,0,74,0.1669793621013133,5616.8,1,1548.76,1557.9
S3,qlearning,0,75,0.11223750905141203,7034.1,0,2079.2200000000003,2123.6000000000004
S3,qlearning,0,76,0.1574074074074074,5402.5,0,1492.76,1496.4
S3,qlearning,0,77,0.12839598064756233,6514.3,1,1764.24,1805.4
S3,qlearning,0,78,0.14794007490636704,6816.3,0,1861.5,1894.0
S3,qlearning,0,79,0.1467041800643087,5895.55,0,1805.64,1898.6000000000001
S3,qlearning,0,80,0.13958898797983715,5824.900000000001,2,1803.72,1889.4
S3,qlearning,0,81,0.15667311411992263,6494.200000000001,0,1908.0800000000002,1972.6000000000001
S3,qlearning,0,82,0.14722975590856258,6195.3,3,1629.48,1646.9
S3,qlearning,0,83,0.1506276150627615,5858.500000000001,0,1539.56,1579.4
S3,qlearning,0,84,0.1625,5608.5,0,2031.2799999999997,2228.0
S3,qlearning,0,85,0.11921965317919075,6771.200000000001,2,1680.5600000000002,1681.7000000000003
S3,qlearning,0,86,0.18162839248434237,5282.900000000001,0,1545.88,1613.3000000000002
S3,qlearning,0,87,0.1589825119236884,5612.3,0,1509.2600000000002,1571.0000000000002
S3,qlearning,0,88,0.1493342929111191,6766.0,0,2153.46,2270.0
S3,qlearning,0,89,0.15139900344959756,6233.1,0,1916.6400000000003,1965.4000000000003
S3,qlearning,0,90,0.17677707480461483,6686.5,2,2099.44,2163.0
S3,qlearning,0,91,0.14490095377842993,6541.1,0,1774.6200000000003,1780.2000000000003
S3,qlearning,0,92,0.13278855975485188,7444.3,3,2268.2400000000002,2297.4
S3,qlearning,0,93,0.13303769401330376,6307.3,3,1783.96,1846.7
S3,qlearning,0,94,0.1539360872954014,6793.5,1,2190.0400000000004,2203.6000000000004
S3,qlearning,0,95,0.15979381443298968,6555.1,0,2344.92,2524.4
S3,qlearning,0,96,0.15196441808747221,6250.0,0,1677.8400000000001,1686.9
S3,qlearning,0,97,0.16280894468418988,5984.700000000001,0,1776.14,1860.6000000000001
S3,qlearning,0,98,0.1527001862197393,6788.700000000001,1,1975.68,2046.0000000000002
S3,qlearning,0,99,0.1441578148710167,6537.1,4,1758.6200000000001,1763.5000000000002
S3,qlearning,0,100,0.17528328611898017,6694.700000000001,1,1778.24,1817.0
S3,qlearning,0,101,0.12264150943396226,6000.3,2,1700.76,1788.6000000000001
S3,qlearning,0,102,0.1501856226797165,6948.900000000001,1,2105.98,2193.2000000000003
S3,qlearning,0,103,0.1614128370679833,6395.8,1,1727.7200000000003,1740.2000000000003
S3,qlearning,0,104,0.13672551055728627,7765.3,3,2281.2400000000002,2378.2000000000003
S3,qlearning,0,105,0.15963978714695046,5891.400000000001,0,1863.3,1936.4
S3,qlearning,0,106,0.1518784972022382,5879.0,3,1566.5400000000002,1576.4
S3,qlearning,0,107,0.16386373436826218,5437.25,0,1702.64,1794.0000000000002
S3,qlearning,0,108,0.1524628616106333,6474.400000000001,1,1726.0,1766.9
S3,qlearning,0,109,0.16789667896678967,5939.900000000001,0,1766.6399999999999,1867.2
S3,qlearning,0,110,0.15673981191222572,5962.200000000001,0,1608.5800000000002,1612.6000000000001
S3,qlearning,0,111,0.18127490039840638,5764.700000000001,1,1548.3600000000001,1589.8000000000002
S3,qlearning,0,112,0.17763423496164715,5752.300000000001,2,2059.52,2268.6000000000004
S3,qlearning,0,113,0.14270424545130217,7135.8,0,2301.12,2416.7
S3,qlearning,0,114,0.1356954391255183,6894.300000000001,5,1576.48,1578.2
S3,qlearning,0,115,0.1988879384088965,5353.5,0,1386.2,1417.6000000000001
S3,qlearning,0,116,0.1578165614556257,6206.3,2,1641.5,1682.0
S3,qlearning,0,117,0.16297043010752688,6641.000000000001,0,1918.74,2010.1000000000001
S3,qlearning,0,118,0.13748694744169856,6673.900000000001,3,1844.7800000000002,1892.8000000000002
S3,qlearning,0,119,0.13482719331560958,6321.5,0,1732.2,1771.4
S3,qlearning,0,120,0.10754583921015515,6791.700000000001,0,1895.3400000000001,1915.4
