service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode
0.109794353433252,5405.0,0,1515.6,1573.0,S1,dqn,1,73
0.12544100352802823,4794.0,2,1359.0,1394.0,S1,dqn,1,74
0.11359724612736662,5497.0,2,1395.6,1402.0,S1,dqn,1,75
0.10394644115574349,5428.0,1,1515.6,1528.0,S1,dqn,1,76
0.14590347923681257,5073.0,9,1369.6,1402.0,S1,dqn,1,77
0.1502843216896832,4511.0,0,1350.8,1400.0,S1,dqn,1,78
0.13708019191226867,5433.0,1,1907.8,2057.0,S1,dqn,1,79
0.14505417686123734,5299.0,2,1452.8,1524.0,S1,dqn,1,80
0.1456133964324718,5076.0,1,1402.0,1428.0,S1,dqn,1,81
0.12039660056657224,5280.7,0,1517.8,1572.0,S1,dqn,1,82
0.15324305060584462,5199.0,2,1462.6,1468.0,S1,dqn,1,83
0.14341846758349705,4767.0,4,1319.2,1323.0,S1,dqn,1,84
0.13900080580177276,4611.0,0,1381.0,1466.0,S1,dqn,1,85
0.12339242266249566,5401.0,2,1466.3999999999999,1499.0,S1,dqn,1,86
0.1267605633802817,5347.0,3,1493.2,1529.0,S1,dqn,1,87
0.13222849083215796,5259.0,0,1434.8,1447.0,S1,dqn,1,88
0.09556437071763434,5273.0,0,1404.0,1428.0,S1,dqn,1,89
0.14961725817675714,5290.0,1,1598.0,1697.0,S1,dqn,1,90
0.16140475345867328,5175.0,0,1311.2,1318.0,S1,dqn,1,91
0.1280323450134771,5533.0,0,1460.4,1465.0,S1,dqn,1,92
0.14380918975797966,5404.0,8,1378.3999999999999,1419.0,S1,dqn,1,93
0.13226649248856956,5736.0,3,1572.6,1588.0,S1,dqn,1,94
0.1397459165154265,5112.0,1,1248.4,1263.0,S1,dqn,1,95
0.1530993278566094,4918.0,0,1484.6,1561.0,S1,dqn,1,96
0.15186028853454822,4915.0,4,1296.6,1319.0,S1,dqn,1,97
0.13859649122807016,5307.0,1,1368.8,1371.0,S1,dqn,1,98
0.1244343891402715,4971.0,0,1263.4,1268.0,S1,dqn,1,99
0.15086206896551724,5215.0,3,1566.0,1591.0,S1,dqn,1,100
0.13330829891100263,5008.0,1,1433.2,1450.0,S1,dqn,1,101
0.14285714285714285,5042.0,0,1355.4,1371.0,S1,dqn,1,102
0.17391304347826086,5022.0,0,1395.4,1400.0,S1,dqn,1,103
0.16180654338549075,5152.0,0,1382.8,1398.0,S1,dqn,1,104
0.1651440618411806,5179.0,0,1493.6,1507.0,S1,dqn,1,105
0.13226649248856956,5691.0,0,1573.2,1587.0,S1,dqn,1,106
0.15034168564920272,4913.5,3,1357.0,1372.0,S1,dqn,1,107
0.14774494556765164,4801.0,3,1344.8,1355.0,S1,dqn,1,108
0.1320901320901321,4850.0,3,1224.2,1226.0,S1,dqn,1,109
0.1368849426563078,5063.0,3,1432.4,1457.0,S1,dqn,1,110
0.12339585389930899,5700.0,1,1386.6,1398.0,S1,dqn,1,111
0.1332263242375602,5837.0,2,1626.6,1645.0,S1,dqn,1,112
0.19284294234592445,4562.0,2,1175.2,1188.0,S1,dqn,1,113
0.1790801790801791,4466.0,1,1093.8,1106.0,S1,dqn,1,114
0.18546845124282982,4813.4,6,1378.2,1431.0,S1,dqn,1,115
0.1263952724885095,5679.0,0,1388.6,1415.0,S1,dqn,1,116
0.13130615065653076,5395.0,1,1344.6,1352.0,S1,dqn,1,117
0.15589782118707737,4896.0,0,1266.6,1270.0,S1,dqn,1,118
0.2229950900163666,4315.0,0,1246.0,1265.0,S1,dqn,1,119
0.15827612509534705,4797.4,0,1250.8,1274.0,S1,dqn,1,120
0.17425742574257425,4627.0,2,1377.6,1413.0,S1,dqn,1,121
0.12426648256817398,5421.0,0,1519.0,1550.0,S1,dqn,1,122
0.14097744360902256,4922.0,0,1247.8,1274.0,S1,dqn,1,123
0.13856812933025403,4873.0,3,1249.6,1287.0,S1,dqn,1,124
0.14178033022254127,5244.0,6,1375.0,1381.0,S1,dqn,1,125
0.14933628318584072,5011.0,2,1343.0,1409.0,S1,dqn,1,126
0.13569220199244245,5474.0,2,1655.3999999999999,1716.0,S1,dqn,1,127
0.1440874461742299,5630.0,3,1568.2,1573.0,S1,dqn,1,128
0.1366120218579235,4766.0,0,1337.2,1375.0,S1,dqn,1,129
0.14799154334038056,5248.0,0,1432.4,1442.0,S1,dqn,1,130
0.15250901935060676,5590.0,0,1543.2,1561.0,S1,dqn,1,131
0.1595553961993546,5090.0,0,1327.4,1354.0,S1,dqn,1,132
0.1421875,6042.0,5,1527.8,1570.0,S1,dqn,1,133
0.1380006731740155,5549.0,3,1577.0,1645.0,S1,dqn,1,134
0.18791946308724833,4092.0,3,1083.8,1125.0,S1,dqn,1,135
0.18063314711359404,4892.0,0,1344.4,1361.0,S1,dqn,1,136
0.1478102189781022,5052.0,0,1319.8,1335.0,S1,dqn,1,137
0.12486992715920915,5443.0,2,1469.3999999999999,1516.0,S1,dqn,1,138
0.1695501730103806,5332.0,4,1226.2,1231.0,S1,dqn,1,139
0.16206261510128914,4977.0,1,1459.6,1554.0,S1,dqn,1,140
0.10886715052066898,6000.0,2,1545.0,1561.0,S1,dqn,1,141
0.15575221238938053,5187.0,0,1265.2,1268.0,S1,dqn,1,142
0.15596988167802078,5305.1,10,1419.82,1420.0,S1,dqn,1,143
0.14732630047289924,5070.0,0,1508.3999999999999,1542.0,S1,dqn,1,144
0.15421521590130227,5348.6,0,1469.6,1476.0,S1,dqn,1,145
0.19931662870159453,4720.0,0,1486.2,1502.0,S1,dqn,1,146
0.15825320512820512,4679.0,4,1440.3999999999999,1523.0,S1,dqn,1,147
0.1280388978930308,5737.0,0,1461.6,1469.0,S1,dqn,1,148
0.11490368367691788,5576.2,0,1580.8,1605.0,S1,dqn,1,149
0.13984806629834254,5424.0,1,1565.2,1622.0,S1,dqn,1,150
0.16111111111111112,5027.0,4,1348.4,1368.0,S1,dqn,1,151
0.15653775322283608,5002.0,0,1399.0,1427.0,S1,dqn,1,152
0.1457321304649549,5331.0,0,1532.3999999999999,1604.0,S1,dqn,1,153
0.15894955079474776,5310.0,1,1637.1999999999998,1750.0,S1,dqn,1,154
0.11506935687263556,5971.0,0,1671.6,1757.0,S1,dqn,1,155
0.1467034863652054,5326.0,0,1422.4,1439.0,S1,dqn,1,156
0.13335704125177808,5341.0,5,1364.8,1375.0,S1,dqn,1,157
0.16356749311294766,5380.0,1,1514.4,1520.0,S1,dqn,1,158
0.14385964912280702,5287.0,1,1523.2,1535.0,S1,dqn,1,159
0.1179890560875513,5520.0,2,1535.3999999999999,1589.0,S1,dqn,1,160
0.14918190567853706,5792.9,3,1534.18,1572.0,S1,dqn,1,161
0.16051660516605165,4972.0,0,1450.0,1495.0,S1,dqn,1,162
0.15070921985815602,5192.0,0,1321.0,1327.0,S1,dqn,1,163
0.18410852713178294,4682.0,1,1224.2,1269.0,S1,dqn,1,164
0.14848181514848183,5531.0,0,1438.4,1446.0,S1,dqn,1,165
0.13823208439432522,5110.0,2,1560.8,1645.0,S1,dqn,1,166
0.15970961887477314,5062.0,1,1403.3999999999999,1438.0,S1,dqn,1,167
0.15072083879423329,5631.0,1,1521.2,1530.0,S1,dqn,1,168
0.11532125205930807,5727.0,0,1432.2,1453.0,S1,dqn,1,169
0.17049666419570053,4913.0,0,1423.2,1485.0,S1,dqn,1,170
0.1263051532502526,5590.0,2,1465.4,1493.0,S1,dqn,1,171
0.1558130243707551,4598.0,0,1254.3999999999999,1308.0,S1,dqn,1,172
0.13376227565187945,5533.0,2,1306.6,1321.0,S1,dqn,1,173
0.17285298398835516,4998.0,0,1428.0,1431.0,S1,dqn,1,174
0.1843817787418655,4979.0,0,1440.0,1485.0,S1,dqn,1,175
0.1422981145499822,5229.0,2,1432.8,1436.0,S1,dqn,1,176
0.13637913399249915,5483.0,1,1434.6,1438.0,S1,dqn,1,177
0.14118457300275483,5395.0,0,1624.8,1669.0,S1,dqn,1,178
0.1429618768328446,5043.0,1,1580.6,1642.0,S1,dqn,1,179
0.15979381443298968,5402.0,3,1471.3999999999999,1507.0,S1,dqn,1,180
0.12916383412644458,5491.0,1,1570.2,1602.0,S1,dqn,1,181
0.13049696102967465,5216.0,0,1490.6,1558.0,S1,dqn,1,182
0.1466075690419366,5423.0,0,1327.8,1330.0,S1,dqn,1,183
