scenario,method,seed,total_cost,service_level,scri_viol,VaR95,TVaR95
S3,"sS(s=35,S=45)",42,4579.4400000000005,0.425730295913619,1.3,1253.5318,1284.267
S3,"sS(s=35,S=50)",42,4484.83,0.4606201824089124,1.2,1234.6282,1266.486
S3,"sS(s=35,S=55)",42,4408.512,0.4907375125680119,1.12,1219.0836,1250.784
S3,"sS(s=35,S=60)",42,4346.075,0.5168955566568701,1.04,1205.7786,1237.665
S3,"sS(s=35,S=65)",42,4292.1990000000005,0.5412750273210576,1.02,1197.972,1230.8870000000002
S3,"sS(s=35,S=70)",42,4247.889,0.562034494938817,1.1,1189.787,1224.757
S3,"sS(s=35,S=75)",42,4207.396000000001,0.5837255313695838,1.04,1177.1580000000001,1211.787
S3,"sS(s=35,S=80)",42,4186.643,0.6010609024935354,0.98,1175.1784,1211.316
S3,"sS(s=35,S=85)",42,4163.211,0.6192527981237198,0.92,1170.0778,1206.258
S3,"sS(s=35,S=90)",42,4145.8060000000005,0.6352699950702317,1.0,1168.1624000000002,1202.675
S3,"sS(s=35,S=95)",42,4153.156,0.6443499272629899,0.94,1167.0716,1201.209
S3,"sS(s=40,S=100)",42,4108.12,0.6729831749509769,0.88,1164.3254000000002,1200.685
S3,"sS(s=40,S=45)",42,4572.305,0.42800193021093863,1.3,1252.843,1283.611
S3,"sS(s=40,S=50)",42,4473.066000000001,0.46466798451121605,1.2,1233.5886,1265.372
S3,"sS(s=40,S=55)",42,4386.44,0.4978856111118642,1.12,1216.4562,1248.516
S3,"sS(s=40,S=60)",42,4317.52,0.5260552181045949,1.02,1203.4544,1236.263
S3,"sS(s=40,S=65)",42,4259.254,0.5522583391736968,1.02,1192.8226000000002,1226.1770000000001
S3,"sS(s=40,S=70)",42,4213.692,0.5749800629592707,1.08,1184.2778,1218.862
S3,"sS(s=40,S=75)",42,4168.456,0.5971333885210087,1.02,1176.4032,1212.191
S3,"sS(s=40,S=80)",42,4144.6140000000005,0.6155837441531355,0.96,1170.0644,1205.665
S3,"sS(s=40,S=85)",42,4120.817,0.6337587365137288,0.9,1164.8096,1199.795
S3,"sS(s=40,S=90)",42,4100.707,0.6507624187974632,0.94,1161.0356,1197.3310000000001
S3,"sS(s=40,S=95)",42,4102.986000000001,0.6629144011661099,0.86,1163.6804,1202.372
S3,"sS(s=45,S=100)",42,4089.882,0.6794413698285864,0.82,1157.3018,1194.938
S3,"sS(s=45,S=50)",42,4472.062,0.4649796201177475,1.18,1233.4094,1265.124
S3,"sS(s=45,S=55)",42,4384.38,0.498565816172917,1.12,1215.8994,1248.048
S3,"sS(s=45,S=60)",42,4311.284000000001,0.5281054632237945,1.0,1202.8292,1235.705
S3,"sS(s=45,S=65)",42,4252.287,0.5546933318053778,1.0,1191.1886,1224.191
S3,"sS(s=45,S=70)",42,4206.126,0.5780567701898127,1.06,1181.7872,1216.2020000000002
S3,"sS(s=45,S=75)",42,4166.718000000001,0.5993324767429051,1.04,1172.0854000000002,1207.136
S3,"sS(s=45,S=80)",42,4131.408,0.6200226642629224,0.94,1162.3296,1196.425
S3,"sS(s=45,S=85)",42,4107.754,0.6386466572818214,0.9,1160.0646000000002,1195.034
S3,"sS(s=45,S=90)",42,4094.3579999999997,0.6533339221631373,0.9,1154.8572,1190.096
S3,"sS(s=45,S=95)",42,4081.9960000000005,0.6692043016386369,0.9,1159.5052,1197.281
S3,"sS(s=5,S=10)",42,5498.476000000001,0.11588693387185359,1.86,1476.4188000000001,1502.34
S3,"sS(s=5,S=100)",42,4331.369000000001,0.5861396301900643,1.12,1213.2468000000001,1246.652
S3,"sS(s=5,S=15)",42,5347.125,0.16425435911956765,1.44,1435.4284,1460.9840000000002
S3,"sS(s=5,S=20)",42,5202.735000000001,0.2115976686568545,1.4,1398.36,1423.603
S3,"sS(s=5,S=25)",42,5064.791,0.25743808352042735,1.42,1363.7402000000002,1389.565
S3,"sS(s=5,S=30)",42,4940.278,0.2992036523959967,1.4,1334.0924000000002,1361.0420000000001
S3,"sS(s=5,S=35)",42,4824.946,0.33843585615916877,1.4,1308.3886000000002,1337.257
S3,"sS(s=5,S=40)",42,4730.5740000000005,0.3722907361938942,1.38,1284.7448000000002,1313.1689999999999
S3,"sS(s=5,S=45)",42,4644.863,0.40419220974414677,1.34,1268.1232,1297.94
S3,"sS(s=5,S=50)",42,4569.5160000000005,0.432080778552549,1.26,1258.0292,1290.592
S3,"sS(s=5,S=55)",42,4511.1,0.45510239830436916,1.34,1249.0414,1281.511
S3,"sS(s=5,S=60)",42,4457.275,0.4763987695935843,1.4,1235.3268,1268.16
S3,"sS(s=5,S=65)",42,4411.0560000000005,0.49854651013033113,1.34,1222.2022,1255.419
S3,"sS(s=5,S=70)",42,4387.4310000000005,0.5141527184991997,1.3,1224.61,1262.267
S3,"sS(s=5,S=75)",42,4352.298,0.5346760457291326,1.2,1218.203,1253.307
S3,"sS(s=5,S=80)",42,4357.441000000001,0.543165122354518,1.26,1219.5824,1254.056
S3,"sS(s=5,S=85)",42,4343.923000000001,0.5553621509165323,1.18,1210.736,1242.596
S3,"sS(s=5,S=90)",42,4331.638000000001,0.5663588300265184,1.1,1199.068,1227.5710000000001
S3,"sS(s=5,S=95)",42,4327.927,0.5772527245631648,1.08,1198.9669999999999,1229.689
S3,"sS(s=50,S=100)",42,4078.34,0.6875236223886282,0.84,1161.4628,1201.495
S3,"sS(s=50,S=55)",42,4377.977,0.5007220753905084,1.12,1215.2186,1247.361
S3,"sS(s=50,S=60)",42,4295.406,0.5332186815100887,0.98,1200.5710000000001,1233.396
