scenario,method,seed,episode,service_level,total_cost,scri_viol,VaR95,TVaR95
S1,qlearning,0,70,0.14181678804139516,5824.0,0,1869.1999999999998,2030.0
S1,qlearning,0,71,0.1647411210954215,4276.0,0,1083.4,1109.0
S1,qlearning,0,72,0.13090909090909092,5788.0,6,1772.1999999999998,1843.0
S1,qlearning,0,73,0.12095400340715502,5871.5,5,1708.1999999999998,1779.5
S1,qlearning,0,74,0.1337852301105958,6485.0,7,2027.6,2162.0
S1,qlearning,0,75,0.15445402298850575,5140.0,1,1268.8,1297.0
S1,qlearning,0,76,0.15052593398621691,5360.0,0,1668.3999999999999,1753.0
S1,qlearning,0,77,0.14634986225895316,6544.0,3,1805.8,1813.0
S1,qlearning,0,78,0.13786008230452676,5058.4,0,1625.1999999999998,1781.0
S1,qlearning,0,79,0.14973464746019713,5453.0,0,1601.3999999999999,1670.0
S1,qlearning,0,80,0.12212142358688068,6039.0,2,1705.3999999999999,1774.0
S1,qlearning,0,81,0.13508832698302736,6477.0,1,1997.9999999999998,2151.0
S1,qlearning,0,82,0.11679079214624238,5560.0,0,1450.8,1461.0
S1,qlearning,0,83,0.1417611741160774,6345.0,0,2054.2,2134.0
S1,qlearning,0,84,0.1388888888888889,5552.5,0,1687.6,1780.5
S1,qlearning,0,85,0.1449814126394052,5883.0,0,1756.4,1782.0
S1,qlearning,0,86,0.1424821897262842,5964.6,1,1778.1999999999998,1890.0
S1,qlearning,0,87,0.18060463290145268,5444.0,1,1595.0,1617.0
S1,qlearning,0,88,0.14856388246946187,6657.0,0,2133.4,2256.0
S1,qlearning,0,89,0.14145810663764963,5388.0,0,1528.4,1551.0
S1,qlearning,0,90,0.14321074964639322,5838.5,0,1602.6,1650.5
S1,qlearning,0,91,0.16672707502718376,5667.0,2,1933.9999999999998,2118.0
S1,qlearning,0,92,0.11685319289005924,6016.0,0,1671.3999999999999,1718.0
S1,qlearning,0,93,0.12850929221035984,5265.4,1,1568.6,1644.0
S1,qlearning,0,94,0.15760304814686527,6188.0,0,2012.6,2157.0
S1,qlearning,0,95,0.11286277319957004,5779.0,1,1724.2,1769.0
S1,qlearning,0,96,0.13828723758747083,6339.0,0,1908.8,1926.0
