service_level,total_cost,scri_viol,VaR95,TVaR95,scenario,method,seed,episode,c_h,c_b,c_o,c_disruption,lambda_scri,scri_threshold,scri_mode,s,S
0.11037527593818984,5155.9,2,1431.6,1456.0,S1,"sS(s=0,S=10)",42,33,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10756819054936612,4988.1,4,1514.0,1624.0,S1,"sS(s=0,S=10)",42,34,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11253395421032208,4851.0,0,1271.2,1300.0,S1,"sS(s=0,S=10)",42,35,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10547805375978224,5590.0,3,1491.6,1513.0,S1,"sS(s=0,S=10)",42,36,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10768126346015794,5329.0,5,1475.0,1479.0,S1,"sS(s=0,S=10)",42,37,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10090466249130133,5445.0,0,1602.8,1674.0,S1,"sS(s=0,S=10)",42,38,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11409942950285248,4690.0,4,1375.6,1392.0,S1,"sS(s=0,S=10)",42,39,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1111963190184049,4993.0,4,1418.8,1422.0,S1,"sS(s=0,S=10)",42,40,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10657193605683836,5307.0,0,1332.4,1348.0,S1,"sS(s=0,S=10)",42,41,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.09867301803334468,5635.0,3,1644.0,1712.0,S1,"sS(s=0,S=10)",42,42,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11377488825680618,4694.0,2,1116.2,1122.0,S1,"sS(s=0,S=10)",42,43,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10507880910683012,5387.0,0,1336.0,1340.0,S1,"sS(s=0,S=10)",42,44,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.11005692599620494,4967.0,0,1296.8,1314.0,S1,"sS(s=0,S=10)",42,45,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.09609012591119948,5733.0,0,1674.8,1756.0,S1,"sS(s=0,S=10)",42,46,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.09547383309759547,5438.0,2,1484.6,1502.0,S1,"sS(s=0,S=10)",42,47,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.12156862745098039,4757.0,0,1189.6,1190.0,S1,"sS(s=0,S=10)",42,48,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.10439164866810655,5488.0,12,1453.4,1457.0,S1,"sS(s=0,S=10)",42,49,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,10.0
0.1555977229601518,4952.0,4,1242.8,1257.0,S1,"sS(s=0,S=15)",42,0,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.15471423370950127,5056.0,0,1319.8,1333.0,S1,"sS(s=0,S=15)",42,1,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
0.1426086956521739,5387.0,2,1517.0,1570.0,S1,"sS(s=0,S=15)",42,2,0.1,2.0,1.0,5.0,10.0,0.7,indicator,0.0,15.0
